U1132843960001980000906499800200000123123123AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL        
A220250411DINHEIRO                 1000000000400000000000000000000000000
A220250414DINHEIRO                 1000000001500000000000000000000000000
A220250415DINHEIRO                 1000000000600000000000000000000000000
A220250512DINHEIRO                 1000000002300000000000000000000000000
A220250514DINHEIRO                 1000000003700000000000000000000000000
A220250515DINHEIRO                 1000000003900000000000000000000000000
A220250520DINHEIRO                 1000000010500000000000000000000000000
A220250529DINHEIRO                 1000000000200000000000000000000000000
E21328439600019800000000000026       38089119ADJUVANTE VERSAL 05 LT                            LT    +0000085002025062520250630
E21328439600019800000000000040       31052000ADUBO 02.23.23 BB 1000KG                          T     +0000001002025062520250630
E21328439600019800000000000041       31052000ADUBO 02.24.12                                    SC    +0100000002025062520250630
E21328439600019800000000000071       31052000ADUBO 09.24.12 + 11S - SC 50KG                    SC    +0000004002025062520250630
E21328439600019800000000000080       31052000ADUBO 15.15.15 NPK - BB 1000KG                    T     +0000032002025062520250630
E21328439600019800000000000204       31052000ADUBO YARA 02.23.23                               SC    +0000032002025062520250630
E21328439600019800000000000217       31052000ADUBO YARA 04.20.20                               SC    +0000002002025062520250630
E21328439600019800000000000218       31052000ADUBO YARA 04.20.20 BB 1000KG                     T     +0000001002025062520250630
E21328439600019800000000000238       31052000ADUBO YARA 08.20.15 BB 1000KG                     T     +0000072002025062520250630
E21328439600019800000000000239       31052000ADUBO YARA 08.20.15 SC 50KG                       SC    +0001253002025062520250630
E21328439600019800000000000263       31052000ADUBO YARABASA 03.21.21 BB 1000KG                 T     +0000001002025062520250630
E21328439600019800000000000269       31052000ADUBO YARABASA 08.17.11 BB 1000 KG                T     +0000002002025062520250630
E21328439600019800000000000270       31052000ADUBO YARABASA 08.17.11 SC 50KG                   SC    +0000420002025062520250630
E21328439600019800000000000272       31052000ADUBO YARABASA 09.16.11 SC 50KG                   SC    +0000003002025062520250630
E21328439600019800000000000276       31052000ADUBO YARAMILA 13.24.12 50 KG                     SC    +0000128002025062520250630
E21328439600019800000000000277       31052000ADUBO YARAMILA 13.24.12 BB 1000KG                 T     +0000037002025062520250630
E21328439600019800000000000281       31052000ADUBO YARAMILA UNIK 16.16.16 BB 1000KG            T     +0000037002025062520250630
E21328439600019800000000000282       31052000ADUBO YARAMILA UNIK 16.16.16 SC 50KG              SC    +0000001002025062520250630
E21328439600019800000000000305       84329000ANEL MILHO                                        UN    +0000001002025062520250630
E21328439600019800000000000314       34029019ASSIST 05LT                                       LT    +0000170002025062520250630
E21328439600019800000000000317       38089199ATABRON 50CE 05LT                                 LT    +0000010002025062520250630
E21328439600019800000000000319       38089299ATIVUM EC. 05 LT                                  LT    +0000010002025062520250630
E21328439600019800000000000331       38089291AUMENAX 05LT                                      LT    +0000040002025062520250630
E21328439600019800000000000332       34029029AUREO EC720 05LT                                  LT    +0000150002025062520250630
E21328439600019800000000000336       38089199AVATAR 05LT                                       LT    +0000100002025062520250630
E21328439600019800000000000342       38089329BASAGRAN 600 01LT                                 LT    +0000150002025062520250630
E21328439600019800000000000355       30029099BIAGRO NG 2X45 PCE BAG BR                         LT    +0000045002025062520250630
E21328439600019800000000000356       31029000BIOATIVADOR FOLHA NORTOX 5LT                      LT    +0000150002025062520250630
E21328439600019800000000000357       31029000BIOATIVADOR RAIZ NORTOX LT                        LT    +0000145002025062520250630
E21328439600019800000000000364       31051000BIOZYME TF 01LT                                   LT    +0000009002025062520250630
E21328439600019800000000000366       38089199BOLD 05LT                                         LT    +0002250002025062520250630
E21328439600019800000000000373       38089199BRILHANTE BR 05LT                                 LT    +0000010002025062520250630
E21328439600019800000000000376       38089299BRIO 05LT                                         LT    +0000050002025062520250630
E21328439600019800000000000406       31056000CALTIM + S + B - BBAG 1000KG                      T     +0000036002025062520250630
E21328439600019800000000000413       38089199CAPATAZ BR 01LT                                   LT    +0000015002025062520250630
E21328439600019800000000000416       38089299CARBENDAZIM NORTOX 05LT                           LT    +0000220002025062520250630
E21328439600019800000000000429       38089199CERTERO SC480 01LT                                LT    +0000034002025062520250630
E21328439600019800000000000431       38089299CERTEZA 01LT                                      LT    +0000086002025062520250630
E21328439600019800000000000432       38089299CERTEZA 05LT                                      LT    +0000210002025062520250630
E21328439600019800000000000434       38089192CIPERMETRINA NORTOX 250CE 01LT                    LT    +0000292002025062520250630
E21328439600019800000000000437       38089329CLETODIM NORTOX 05LT                              LT    +0000325002025062520250630
E21328439600019800000000000440       31042010CLORETO DE POTASSIO 00.00.60 BB 1000KG            T     +0000017002025062520250630
E21328439600019800000000000441       31042010CLORETO DE POTASSIO 00.00.60 SC 50KG              SC    +0000070002025062520250630
E21328439600019800000000000464       38089199CONNECT EC112,5 01LT                              LT    +0000068002025062520250630
E21328439600019800000000000465       38089199CONNECT EC112,5 05LT                              LT    +0000290002025062520250630
E21328439600019800000000000467       32041700CORANTE COLOR SEED AZUL 05LT                      LT    +0000020002025062520250630
E21328439600019800000000000469       35069120CORANTE COLOR SEED VERDE 05LT                     LT    +0000035002025062520250630
E21328439600019800000000000472       35069120CORANTE COLOR SEED VERMELHO 20 LT                 LT    +0000060002025062520250630
E21328439600019800000000000476       32041300CORANTE VERMELHO BRILHANTE 100 ML                 LT    +0000011002025062520250630
E21328439600019800000000000483       38089199CROPSTAR FS600 01LT                               LT    +0000005002025062520250630
E21328439600019800000000000491       31052000CUPROQUART NTX 05LT                               LT    +0000080002025062520250630
E21328439600019800000000000493       31021090CUPROZIN ULTRA 5 LTS                              LT    +0000040002025062520250630
E21328439600019800000000000494       38089199CURBIX SC200 - 01LT                               LT    +0000014002025062520250630
E21328439600019800000000000500       34029029DASH HC 05LT                                      LT    +0000005002025062520250630
E21328439600019800000000000501       38089199DECIS 25CE 01LT                                   LT    +0000006002025062520250630
E21328439600019800000000000503       31059019DEFENSE 05LT                                      LT    +0000005002025062520250630
E21328439600019800000000000509       38089299DEROSAL PLUS FS500 05LT                           LT    +0000090002025062520250630
E21328439600019800000000000519       84329000DISCO DE MILHO                                    UN    +0000055002025062520250630
E21328439600019800000000000526       38089329DORADO 01 LT                                      LT    +0000015002025062520250630
E21328439600019800000000000551       38089199FASTAC 100CE 01LT                                 LT    +0000009002025062520250630
E21328439600019800000000000553       38089199FASTAC DUO 05LT                                   LT    +0000065002025062520250630
E21328439600019800000000000554       38089299FEGATEX NORTOX 05LT                               LT    +0000090002025062520250630
E21328439600019800000000000575       38089329FINALE SL200 10LT                                 LT    +0000010002025062520250630
E21328439600019800000000000579       38089199FIPRONIL NORTOX 5LT                               LT    +0000115002025062520250630
E21328439600019800000000000583       31029000FISIO TON 4X5 - 05LT                              LT    +0000100002025062520250630
E21328439600019800000000000587       38089329FLEX 01LT                                         LT    +0000039002025062520250630
E21328439600019800000000000588       38089329FLEX 05LT                                         LT    +0000430002025062520250630
E21328439600019800000000000589       38089322FLUENTE 2,4 D 20 LT                               LT    +0000980002025062520250630
E21328439600019800000000000591       38089329FLUMYZIN 500 SC 01LT                              LT    +0000023002025062520250630
E21328439600019800000000000600       38089299FOX SC325 05LT TESTE EMERSON                      LT    +0000165002025062520250630
E21328439600019800000000000601       38089299FOX SC325 20LT                                    LT    +0000020002025062520250630
E21328439600019800000000000611       31055900FULLTEC 01LT                                      LT    +0000001002025062520250630
E21328439600019800000000000617       38089299FUSAO EC 10LT                                     LT    +0000190002025062520250630
E21328439600019800000000000628       38089329GLADIUM WG60  250GR                               KG    +0000074002025062520250630
E21328439600019800000000000638       38089324GLIFOSATO SHADOW 5LT                              LT    +0000165002025062520250630
E21328439600019800000000000643       25041000GRAFITE 05KG                                      KG    +0000020002025062520250630
E21328439600019800000000000651       31059090GREEN IMMUNET 05LT                                LT    +0000280002025062520250630
E21328439600019800000000000653       38089329HELMOQUAT 20LT                                    LT    +0000020002025062520250630
E21328439600019800000000000662       38089322HERB 2,4 D NORTOX - 20LT                          LT    +0000040002025062520250630
E21328439600019800000000000691       38089199IMIDACLOPRID NORTOX 01LT                          LT    +0000139002025062520250630
E21328439600019800000000000692       38089199IMIDACLOPRID NORTOX 05LT                          LT    +0000580002025062520250630
E21328439600019800000000000695       38089199IMUNIT 01LT                                       LT    +0000035002025062520250630
E21328439600019800000000000708       31059090INOC CROPBIO SOJA LIQ 30 DS                       LT    +0000003002025062520250630
E21328439600019800000000000736       30029099INOC. ADHERE 60 BE 300 DS - 1.5KG                 KG    +0000001502025062520250630
E21328439600019800000000000755       38089199KAISO 250 CS 01LT                                 LT    +0000077002025062520250630
E21328439600019800000000000757       38089299KASUMIN 01LT                                      LT    +0000001002025062520250630
E21328439600019800000000000772       38089329KROLL 05LT                                        LT    +0000010002025062520250630
E21328439600019800000000000778       31028000LANGER HF 01LT                                    LT    +0000046002025062520250630
E21328439600019800000000000779       31028000LANGER HF 05LT                                    LT    +0000140002025062520250630
E21328439600019800000000000781       38089199LANNATE BR 10LT                                   LT    +0000980002025062520250630
E21328439600019800000000000783       38089199LARVIN 800WP 01KG                                 KG    +0000168002025062520250630
E21328439600019800000000000788       38089199LOGIN 250 PC 01 KG                                KG    +0001000002025062520250630
E21328439600019800000000000789       31051000LOMBRICO K MAX 05LT                               LT    +0000020002025062520250630
E21328439600019800000000000825       38089321MIRANT2,4 D - 20LT                                LT    +0000400002025062520250630
E21328439600019800000000000826       31029000MKL 05 LT - FERTILIZANTE                          LT    +0000055002025062520250630
E21328439600019800000000000827       38089359MODDUS 05 LT                                      LT    +0000005002025062520250630
E21328439600019800000000000842       38089299NATIVO SC300 01LT                                 LT    +0000082002025062520250630
E21328439600019800000000000843       38089299NATIVO SC300 05LT                                 LT    +0000325002025062520250630
E21328439600019800000000000852       31059090NITROFIX NTX N 21% 01LT                           LT    +0000219002025062520250630
E21328439600019800000000000856       38089199NOMOLT 150 1LT                                    LT    +0000097002025062520250630
E21328439600019800000000000858       38089329NORTON 01 LT                                      LT    +0000002002025062520250630
E21328439600019800000000000859       38089329NORTON 05 LT                                      LT    +0000020002025062520250630
E21328439600019800000000000871       31059090NUTRE COMO 1LT                                    LT    +0000001002025062520250630
E21328439600019800000000000881       38089199OBERON SC240 01LT                                 LT    +0000003002025062520250630
E21328439600019800000000000885       38089299OPERA 01LT                                        LT    +0000001002025062520250630
E21328439600019800000000000888       38089299OPERA ULTRA 05LT                                  LT    +0000505002025062520250630
E21328439600019800000000000895       38089299ORKESTRA SC 01LT                                  LT    +0000004002025062520250630
E21328439600019800000000000896       38089299ORKESTRA SC 05LT                                  LT    +0000100002025062520250630
E21328439600019800000000000904       38089191ORTHENE 750BR 05KG HIDRO                          KG    +0000130002025062520250630
E21328439600019800000000000918       38089199PERITO 970SG WSP 5KG                              KG    +0000985002025062520250630
E21328439600019800000000000932       38089199PIRATE 05LT                                       LT    +0000005002025062520250630
E21328439600019800000000000933       38089199PIREPHOS EC 05LT                                  LT    +0000900002025062520250630
E21328439600019800000000000964       38089329PRIMATOP 05LT                                     LT    +0000300002025062520250630
E21328439600019800000000000965       38089329PRIMATOP 20LT                                     LT    +0000180002025062520250630
E21328439600019800000000000982       31029000PROMETA 10KG                                      KG    +0000200002025062520250630
E21328439600019800000000000986       38089297PROPICONAZOLE NORTOX 05LT                         LT    +0000005002025062520250630
E21328439600019800000000001001       38089329REGLONE 05LT                                      LT    +0001915002025062520250630
E21328439600019800000000001002       38089329REGLONE 20LT                                      LT    +0002800002025062520250630
E21328439600019800000000001015       38089324ROUNDUP ORIGINAL MAIS 20LT                        LT    +0001620002025062520250630
E21328439600019800000000001017       38089323ROUNDUP TRANSORB R 20LT                           LT    +0000340002025062520250630
E21328439600019800000000001018       38089323ROUNDUP ULTRA 05KG                                KG    +0001855002025062520250630
E21328439600019800000000001019       38089324ROUNDUP WG 05KG                                   KG    +0002785002025062520250630
E21328439600019800000000001047       38089329SELECT 120CE ONE PACK 01LT                        LT    +0000035002025062520250630
E21328439600019800000000001048       38089329SELECT 120CE ONE PACK 05LT                        LT    +0000090002025062520250630
E21328439600019800000000001090       7133321 SEM FEIJAO IAPAR SABIA 40 KG                      SC    +0000002002025062520250630
E21328439600019800000000001096       7133311 SEM FEIJAO IPR URUTAU 40KG                        SC    +0000200002025062520250630
E21328439600019800000000001115       10051000SEM MILHO AG 8011                                 SC    +1000000000002025062520250630
E21328439600019800000000001117       10051000SEM MILHO AG 8088 PRO2                            SC    +0000270002025062520250630
E21328439600019800000000001136       10051000SEM MILHO AG 9030 PRO3 PON                        SC    +0000340002025062520250630
E21328439600019800000000001143       10051000SEM MILHO AS 1555 PRO3                            SC    +0000009002025062520250630
E21328439600019800000000001148       10051000SEM MILHO AS 1633 PRO3                            SC    +0000200002025062520250630
E21328439600019800000000001176       10051000SEM MILHO AS 1850 PRO3                            SC    +0000437002025062520250630
E21328439600019800000000001179       10051000SEM MILHO AS 1868 PRO3                            SC    +0000035002025062520250630
E21328439600019800000000001201       10051000SEM MILHO CONVENCIONAL LAND 468                   SC    +0000001002025062520250630
E21328439600019800000000001221       10051000SEM MILHO DKB 255 PRO3                            SC    +0000114002025062520250630
E21328439600019800000000001222       10051000SEM MILHO DKB 255 PRO3 PON                        SC    +0000150002025062520250630
E21328439600019800000000001224       10051000SEM MILHO DKB 265 PRO3                            SC    +0000120002025062520250630
E21328439600019800000000001286       10051000SEM MILHO MG580 PWU                               SC    +0000200002025062520250630
E21328439600019800000000001317       10051000SEM MILHO PIONEER P 3380HR                        SC    +0000030002025062520250630
E21328439600019800000000001326       10051000SEM MILHO PIONEER P3282 VYH D+P                   SC    +0000036002025062520250630
E21328439600019800000000001399       12011000SEM SOJA AS 3590 IPRO P1 40 KG                    SC    +0000066002025062520250630
E21328439600019800000000001402       12011000SEM SOJA AS 3590 IPRO P2 40 KG - TSI 2            SC    +0000035002025062520250630
E21328439600019800000000001500       12011000SEM SOJA BS 2606 IPRO PEN 5.5 40KG - TSI          SC    +0000002002025062520250630
E21328439600019800000000001515       12011000SEM SOJA DM 53I54 RSF IPRO PEN P.2 40 KG          SC    +0000002002025062520250630
E21328439600019800000000001522       12011000SEM SOJA DM 57I52 RSF IPRO PEN (P2) 6,5 40 KG - TSSC    +0000003002025062520250630
E21328439600019800000000001545       12011000SEM SOJA M-SOY 5838 IPRO PEN 6.5- TSI             SC    +0000004002025062520250630
E21328439600019800000000001586       12011000SEM SOJA NS 5258 RR 40KG PEN 5,5                  SC    +0000048002025062520250630
E21328439600019800000000001595       12011000SEM SOJA NS 5445 IPRO 40KG PEN P2                 SC    +0000006002025062520250630
E21328439600019800000000001680       12011000SEM SOJA TMG 7062 IPRO 40KG PEN 7.0               SC    +0000146002025062520250630
E21328439600019800000000001759       10011100SEM TRIGO TBIO SINUELO 40KG                       SC    +0000002002025062520250630
E21328439600019800000000001770       10011100SEM TRIGO TBIO TORUK 40KG                         SC    +0000024002025062520250630
E21328439600019800000000001806       38089322SILVERADO 01 LT                                   LT    +0000002002025062520250630
E21328439600019800000000001807       38089322SILVERADO 05 LT                                   LT    +0000005002025062520250630
E21328439600019800000000001812       38089329SOBERAN SC630 01LT                                LT    +0000004002025062520250630
E21328439600019800000000001816       31052000SOLUCAO NITROGENADA NORTOX 20LT                   LT    +0000860002025062520250630
E21328439600019800000000001820       38089299SPHERE MAX SC535 01LT                             LT    +0000065002025062520250630
E21328439600019800000000001821       38089299SPHERE MAX SC535 05LT                             LT    +0000055002025062520250630
E21328439600019800000000001826       31029000SPRAY LINK 4X1 1LT                                LT    +0000008002025062520250630
E21328439600019800000000001827       31029000SPRAY LINK 4X5 05LT                               LT    +0000040002025062520250630
E21328439600019800000000001831       38089199STANDAK TOP 01LT                                  LT    +0000004002025062520250630
E21328439600019800000000001832       38089199STANDAK TOP 05LT                                  LT    +0000009002025062520250630
E21328439600019800000000001833       38089199STANDAK TOP 200LT                                 LT    +0000030002025062520250630
E21328439600019800000000001857       25262000TALCO MINERAL SJM                                 SC    +0000030002025062520250630
E21328439600019800000000001865       31055900TECH GROW CLEAN 01LT                              LT    +0000004002025062520250630
E21328439600019800000000001866       31055900TECH GROW UP 01LT                                 LT    +0000206002025062520250630
E21328439600019800000000001872       38089199TERRA FORTE 05LT                                  LT    +0000005002025062520250630
E21328439600019800000000001880       31059090TOP YIELD 5LT                                     LT    +0000040002025062520250630
E21328439600019800000000001896       31029000TRILHA CO 01LT                                    LT    +0000036002025062520250630
E21328439600019800000000001903       38089329TROP 05 LT                                        LT    +0000090002025062520250630
E21328439600019800000000001914       38089321U 46 PRIME 2,4 D 05LT                             LT    +0000005002025062520250630
E21328439600019800000000001920       38089419UP DRY WG 1KG                                     KG    +0000072002025062520250630
E21328439600019800000000001921       38089419UP DRY WG 300GR                                   KG    +0000017002025062520250630
E21328439600019800000000001922       38089199UPMYL 20LT                                        LT    +0000020002025062520250630
E21328439600019800000000001923       31021010UREIA 30.00.10                                    SC    +0001130002025062520250630
E21328439600019800000000001943       31021010UREIA 46.00.00 PLUS SC 50 KG                      SC    +0000818002025062520250630
E21328439600019800000000001977       31028000WUESER 01 LT                                      LT    +0000018002025062520250630
E21328439600019800000000001978       31028000WUESER 05 LT                                      LT    +0000265002025062520250630
E21328439600019800000000001979       38089324XEQUE MATE 20LT                                   LT    +0007000002025062520250630
E21328439600019800000000001982       31024000YARABELA 27.00.00 + S - SC 50KG                   SC    +0000596002025062520250630
E21328439600019800000000001983       31024000YARABELA 27.00.00+S BB 1000KG                     T     +0000037002025062520250630
E21328439600019800000000001986       31059090YARAVITA BORTRAC 10LT                             LT    +0000020002025062520250630
E21328439600019800000000001995       31051000YARAVITA ZINTRAC 05 LT                            LT    +0000030002025062520250630
E21328439600019800000000002008       38089199ZEUS 05LT                                         LT    +0000545002025062520250630
E21328439600019800000000002009       38089299ZIGNAL 500SC 05LT                                 LT    +0000310002025062520250630
E21328439600019800000000002012       38089999ZOOM OLEO MINERAL 5 LT                            LT    +0001170002025062520250630
E2132843960001980000000000203728058007132010 SORGO EM GRAOS                                    UN    +0099800002025062520250630
E21328439600019800000000002028       25169000PRODUTO 14 - AUTOMATIZAO DOS TESTES - ATIVO IMOBUN    +0010000002025062520250630
E21328439600019800000000002066       12077090TESTE PEPS EMER                                   KG    +0000150002025062520250630
E21328439600019800000000002068       70091000CD DO CALYPSO                                     UN    +0003180002025062520250630
E21328439600019800000000002072211110084419000TA ITEM GERAL                                     UN    +0100000002025062520250630
E21328439600019800000000002065       87120010BICICLETA ARO 29 SENSE                            UN    +0000022002025062520250630
E21328439600019800000000002086010170070091000WATERCOOLER CORSAIR HYDRO SERIES                  UN    +0000050002025062520250630
E21328439600019800000000002133       84702900PEDIDO VENDA - CONSIGNADO                         UN    +0000073002025062520250630
E21328439600019800000000002038010170070091000LOTE GERAL - DEBORA MENDES - UN - 2038            UN    +0000001002025062520250630
E21328439600019800000000002135       84702900CONSIGNADO - TESTE                                UN    +0000015002025062520250630
E21328439600019800000000002156       84702900CONSIGNADO - ITEM 1                               UN    +0000010002025062520250630
E21328439600019800000000002194       72071110GARRAFA TRMICA                                   UN    +0000003002025062520250630
E21328439600019800000000002061       70101000PRODUTO 18 - AUTOMATIZAO DOS TESTES - ATIVO IMOBUN    +0010000002025062520250630
E21328439600019800000000002209       72071110ITEM VENDA                                        UN    +0000002002025062520250630
E21328439600019800000000002019       72071110PENDRIVE 32GB                                     UN    +1500000002025062520250630
E21328439600019800000000002014       32149000PRODUTO 2 - AUTOMATIZAO DOS TESTES              UN    +4999981002025062520250630
E21328439600019800000000002257       72071110CARREGADOR                                        UN    +0000087002025062520250630
E21328439600019800000000002333170830073079300TA HERB. GLIFOSATO                                LT    +0000100002025062520250630
E21328439600019800000000002335170830073079300TA ALLY                                           PC    +0000085002025062520250630
E21328439600019800000000002328       72071110PRODUTO - AUTOMATIZAO DOS TESTES C/ FUNRURAL    UN    +0000002002025062520250630
E21328439600019800000000002576       72071110CADERNO 100 FOLHASS                               BL    +0000100002025062520250630
E21328439600019800000000003686       84833021(COPIA) TESTE ITEM NOVO                           CX    +0000001002025062520250630
E21328439600019800000000003687       72071110ITEM (SIMILAR) GHA 0111                           CX    +0005996002025062520250630
E21328439600019800000000003785       84833021ITEM TESTE MARCA JOSE                             BD    +5000000002025062520250630
E21328439600019800000000003798130080032149000ITEM COM LOTE GERAL NMTZ-2581                     UN    +0500000002025062520250630
E21328439600019800000000003799280630034070020ITEM COM LOTE SEMENTE NMTZ-2581                   UN    +0500000002025062520250630
E21328439600019800000000003800       32149000NMTZ2581 GERAL                                    UN    +0498928002025062520250630
E21328439600019800000000003803       32149000NMTZ2581 SEMENTE                                  UN    +0020000002025062520250630
E21328439600019800000000003811       32149000NMTZ2581 GERAL SEM LOTE                           UN    +0000500002025062520250630
E21328439600019800000000003842       32149000 VALIDACAO DE FLUXO DE PRECIFICACO               UN    +0000015002025062520250630
E21328439600019800000000003868       51052100UNO MILI                                          UN    +0000001002025062520250630
E21328439600019800000000003888010750087089510ITEM REDUCAO DE BASE 7226                         BD    +0001000002025062520250630
E21328439600019800000000003889       19053100NFC NMTZ-7345                                     UN    +0000089002025062520250630
E21328439600019800000000003926       19053100ITEM TESTE EDSON                                  UN    +0000038002025062520250630
E21328439600019800000000003928       19024000ITEM NMTZ-7579 MERYK                              UN    +1012992002025062520250630
E21328439600019800000000003942       72071110SOJA RR                                           KG    +0004000002025062520250630
J11328439600019820250411000000000001000000000000000V0000000000000V00000000000100941250413284396000198652110000000081034927855000000000821100040963489968
J11328439600019820250411000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369561092796193000003695689 00040963489968
J11328439600019820250411000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369571049231098000003695789 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369581034960541000003695889 00000000000051
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369591063315869000003695989 00000000000051
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369601063315860000003696089 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369611034960539000003696189 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369621049231047000003696289 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369631092796198000003696389 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369641078574865000003696489 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369651027823105000003696589 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369661092796149000003696689 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369671049231043000003696789 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369681034960530000003696889 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369691063315717000003696989 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369701063315718000003697089 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369711034960560000003697189 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100900000000000000000000000000000000000000000000000003697289 00059518389080
J11328439600019820250414000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369731092796143000003697389 00059518389080
J11328439600019820250415000000000001000000000000000V0000000000000V00000000000100900000000000000000000000000000000000000000000000003697489 00059518389080
J11328439600019820250415000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369751027823152000003697589 00000000000000
J11328439600019820250415000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369761092796137000003697689 00000000000000
J11328439600019820250415000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369771049231031000003697789 00000000000000
J11328439600019820250415000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369781034960560000003697889 00000000000000
J11328439600019820250415000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369791063315705000003697989 00000000000000
J11328439600019820250415000000000001000000000000000V0000000000000V00000000000100941250413284396000198650890000369801063315706000003698089 00000000000000
J11328439600019820250512000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000369811034960810000003698189 00055904720084
J11328439600019820250512000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000369821049231060000003698289 00055904720084
J11328439600019820250512000000000002000000000000000V0000000000000V00000000000200941250513284396000198650890000369831092796135000003698389 00055904720084
J11328439600019820250512000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000369841078574705000003698489 00055904720084
J11328439600019820250512000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000369851027823187000003698589 00055904720084
J11328439600019820250512000000000015000000000000000V0000000000000V00000000001500941250513284396000198650890000369861092796161000003698689 00055904720084
J11328439600019820250513000000000001000000000000000V0000000000000V00000000000100900000000000000000000000000000000000000000000000003698789 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100900000000000000000000000000000000000000000000000003698889 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000369891063315756000003698989 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000369901063315757000003699089 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000369911034960809000003699189 00055904720084
J11328439600019820250514000000000002000000000000000V0000000000000V00000000000200941250513284396000198650890000369921049231511000003699289 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000369931092796166000003699389 00055904720084
J11328439600019820250514000000000002000000000000000V0000000000000V00000000000200941250513284396000198650890000369941078574752000003699489 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000369951027823175000003699589 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000369961092796010000003699689 00055904720084
J11328439600019820250514000000000003000000000000000V0000000000000V00000000000300941250513284396000198650890000369971049231518000003699789 00055904720084
J11328439600019820250514000000000003000000000000000V0000000000000V00000000000300941250513284396000198650890000369981034960800000003699889 00055904720084
J11328439600019820250514000000000002000000000000000V0000000000000V00000000000200941250513284396000198650890000369991063315787000003699989 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370001063315780000003700089 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370011034960858000003700189 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370021049231501000003700289 00055904720084
J11328439600019820250514000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370031092796016000003700389 00055904720084
J11328439600019820250515000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370041078574785000003700489 00055904720084
J11328439600019820250515000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370051027823122000003700589 00055904720084
J11328439600019820250515000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370061092796000000003700689 00055904720084
J11328439600019820250515000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370071049231508000003700789 00055904720084
J11328439600019820250515000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370081034960859000003700889 00055904720084
J11328439600019820250515000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370091063315777000003700989 00055904720084
J11328439600019820250515000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370101063315778000003701089 00055904720084
J11328439600019820250515000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370111034960889000003701189 00055904720084
J11328439600019820250515000000000001000000000000000V0000000000000V00000000000100941250513284396000198650890000370121049231559000003701289 00055904720084
